layer,batch_size,optimal_k
0,8,512
1,8,640
2,8,512
3,8,512
4,8,384
5,8,384
6,8,384
7,8,384
8,8,384
9,8,384
10,8,384
11,8,384
12,8,384
13,8,384
14,8,512
15,8,512
16,8,768
17,8,768
18,8,1152
19,8,1664
20,8,1920
21,8,1792
22,8,1920
23,8,1920
24,8,2048
25,8,2816
26,8,3328
27,8,4096
28,8,4864
29,8,5248
30,8,5632
31,8,6144
32,8,6656
33,8,7424
34,8,7680
35,8,8064
36,8,8832
37,8,9344
38,8,9728
39,8,10368
40,8,10240
41,8,10496
42,8,10496
43,8,11008
44,8,11264
45,8,11520
46,8,11392
47,8,11392
48,8,11264
49,8,11264
50,8,11264
51,8,11264
52,8,11520
53,8,11648
54,8,11904
55,8,12288
56,8,12672
57,8,13056
58,8,13824
59,8,14336
60,8,14848
61,8,15104
62,8,15104
63,8,12672
